hMOF,HVF,VSA_RASPA[m^2/cm^3],LCD（Å）,MOFs密度/[kg/m^3],K,Q
12712,0.71549,2375.299078,8.1383,760.8141475,0.00147639,29.57945516
12713,0.86723,1840.340895,13.11661,399.9472274,2.75E-06,8.280898948
12714,0.87533,1697.109536,16.46079,369.9911319,5.10E-06,12.36608739
12715,0.87349,1731.39166,15.38805,433.7599895,2.70E-05,19.22229417
12716,0.86075,1804.68672,15.98058,424.1856051,9.39E-07,3.410992358
12717,0.40121,653.471515,5.42528,1272.556815,2.19E-06,36.68496801
12718,0.29957,308.820224,4.06409,1696.74242,8.83E-11,16.9906792
12719,0.88391,1489.910985,17.90563,379.6581769,3.13E-05,19.32113505
12720,0.8707,1865.717455,13.1439,414.0548026,5.37E-06,10.86156934
12721,0.87355,1891.486789,12.82532,429.5708533,6.64E-06,11.69074048
12722,0.14597,0,3.35845,1718.283413,1.74E-60,-306.951157
12723,0.85791,1885.143906,12.4756,509.6964285,5.57E-06,11.78495205
12724,0.85927,1945.536146,12.65489,545.2072436,7.11E-06,12.2712411
12725,0.66683,2065.422647,6.74201,1090.414487,0.0303987,39.60182383
12726,0.84963,1925.87084,11.85033,580.74279,7.95E-06,13.91928106
12727,0.64807,1904.74665,6.6303,1161.48558,0.0512404,41.89318405
